Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4SmJGZzBN2Jiev5XFmgP2H,"String Quartet No. 1 in C Minor, Op. 51, No. 1: I. Allegro","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,501000,7,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.379,0.234,0,-13.264,1,0.0418,0.944,0.116,0.0801,0.257,101.616,3
spotify:track:6ZqqIWCBKU6HUQU8oe3Ve6,"String Quartet No. 1 in C Minor, Op. 51, No. 1: II. Romanze (Poco adagio)","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,411968,6,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.127,0.0871,8,-18.633,1,0.0433,0.973,0.0798,0.096,0.0652,73.518,3
spotify:track:7Mm0qo8P4a2D8eR8hXMZ8k,"String Quartet No. 1 in C Minor, Op. 51, No. 1: III. Allegretto molto moderato e comodo - Un poco più animato","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,557000,6,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.183,0.11,5,-19.744,0,0.0475,0.977,0.0425,0.163,0.192,90.46,4
spotify:track:48r6Ec4qO6cpCXyGBlbOU0,"String Quartet No. 1 in C Minor, Op. 51, No. 1: IV. Allegro","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,341983,5,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.28,0.298,0,-10.499,0,0.0392,0.922,0.0203,0.308,0.335,94.607,4
spotify:track:6BKEWJIvsNd4icqEtjDO9e,"String Quartet No. 2 in A Minor, Op. 51, No. 2: I. Allegro non troppo","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,578000,6,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.231,0.166,9,-13.749,0,0.042,0.943,0.011,0.311,0.183,82.237,4
spotify:track:777UdwdE0zYDeJ3zJl7Xmf,"String Quartet No. 2 in A Minor, Op. 51, No. 2: II. Andante moderato","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,572000,5,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.198,0.136,9,-17.889,1,0.041,0.947,0.111,0.148,0.0771,103.059,4
spotify:track:78U5nqGNyWc1cCpDfxn7RU,"String Quartet No. 2 in A Minor, Op. 51, No. 2: III. Quasi minuetto, moderato - Allegretto vivace","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,326983,4,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.371,0.102,9,-19.321,0,0.0478,0.932,0.0224,0.0979,0.262,97.728,4
spotify:track:4MMhoLSpWThARGxSu2yFAq,"String Quartet No. 2 in A Minor, Op. 51, No. 2: IV. Finale (Allegro non assai - Più vivace)","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,398000,5,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.371,0.164,9,-12.085,0,0.0599,0.918,0.0213,0.0542,0.397,173.262,3
spotify:track:3G6ADT9MNOCsJoi7kkghON,"String Quartet No. 3 in B Flat Major, Op. 67: I. Vivace","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,459920,5,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.391,0.144,10,-13,1,0.0446,0.96,0.393,0.0711,0.324,142.761,3
spotify:track:6ICsLhQhuZFUfkhTvz9Jl8,"String Quartet No. 3 in B Flat Major, Op. 67: II. Andante","Brahms: Complete String Quartets, Quintets & Sextets","Johannes Brahms;Amadeus Quartet",2003-01-01,445906,4,false,1224596573,2012-08-30T16:34:15Z,"classical,classical piano,chamber music,orchestral","Deutsche Grammophon (DG)",0.127,0.133,5,-16.764,1,0.0451,0.941,0.637,0.237,0.0712,52.843,4
