Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2m8MwTvNHBYIqieOoQeyuY,"Watermark","Watermark","Enya",1988,145640,57,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.304,0.0889,10,-20.264,1,0.033,0.969,0.928,0.109,0.04,135.978,4
spotify:track:4jPfq0Nbmrx5AoRhc7K3sf,"Cursum Perficio","Watermark","Enya",1988,249293,39,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.354,0.0984,0,-19.383,0,0.0389,0.888,0.705,0.137,0.0487,106.915,4
spotify:track:73CMWrPW9B2BYhx3OgRmhl,"On Your Shore","Watermark","Enya",1988,240240,44,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.224,0.0483,4,-24.571,1,0.0407,0.949,0.0949,0.0968,0.0793,134.833,4
spotify:track:4kY6ePKuSFjPUW7pqI57Mk,"Storms in Africa","Watermark","Enya",1988,244800,48,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.5,0.175,1,-23.451,1,0.0342,0.836,0.925,0.108,0.0345,104.059,4
spotify:track:2hMD3SnrBsre1mzptGRn6Z,"Exile","Watermark","Enya",1988,261760,41,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.114,0.175,1,-17.557,0,0.0394,0.856,0.529,0.124,0.0375,170.091,4
spotify:track:3qrDbxTNAYdg6vsTFeC2kh,"Miss Clare Remembers","Watermark","Enya",1988,119666,39,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.334,0.0232,5,-23.006,1,0.0476,0.976,0.904,0.11,0.382,119.818,4
spotify:track:14EUcXXpqrC03Dzzdj8bGr,"Orinoco Flow","Watermark","Enya",1988,266333,62,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.686,0.308,0,-17.283,1,0.0306,0.799,0.288,0.0941,0.561,114.992,4
spotify:track:0aF9woXZLH6AH4ayrkVHhQ,"Evening Falls...","Watermark","Enya",1988,229066,44,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.172,0.0543,6,-20.566,1,0.0435,0.973,0.00103,0.116,0.0875,85.572,4
spotify:track:2VHND0umapOD58DZcogUwX,"River","Watermark","Enya",1988,192173,40,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.487,0.0726,1,-28.253,1,0.0414,0.889,0.877,0.111,0.413,70.704,5
spotify:track:1KYwpvwfrQQNnw2C0x8iGb,"The Longships","Watermark","Enya",1988,219333,40,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.367,0.131,5,-22.299,1,0.03,0.76,0.953,0.102,0.165,96.974,4
spotify:track:1EPONp0Z5nnLBh66vCbsPR,"Na Laetha Geal M'óige","Watermark","Enya",1988,236693,40,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.126,0.089,3,-22.667,1,0.0401,0.945,0.0444,0.0945,0.0693,167.704,3
spotify:track:1uQVrfQXsCDaGvjt6qDOWv,"Storms in Africa (Pt. II)","Watermark","Enya",1988,181240,41,false,1224596573,2012-07-27T23:29:34Z,"new age,celtic","Rhino/Warner Records",0.475,0.463,1,-18.689,1,0.0443,0.765,0.931,0.152,0.528,104.053,4
spotify:track:0y6DSMwFO6cLKN1XB85cGV,"A Day Without Rain","A Day Without Rain","Enya",2000-11-11,156880,67,false,,2012-07-27T23:29:52Z,"new age,celtic","WM UK",0.23,0.159,5,-16.315,1,0.0323,0.907,0.924,0.102,0.039,70.614,4
spotify:track:4MJ4El9vcKHOQT2RNIhrh2,"Wild Child","A Day Without Rain","Enya",2000-11-11,227493,67,false,,2012-07-27T23:29:52Z,"new age,celtic","WM UK",0.6,0.372,0,-10.477,1,0.0256,0.726,0.59,0.154,0.553,79.705,3
spotify:track:6FLwmdmW77N1Pxb1aWsZmO,"Only Time","A Day Without Rain","Enya",2000-11-11,218546,77,false,,2012-07-27T23:29:52Z,"new age,celtic","WM UK",0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,4
spotify:track:5gr5OUyqK5uIG2EouwV6Ta,"Tempus Vernum","A Day Without Rain","Enya",2000-11-11,144266,50,false,,2012-07-27T23:29:52Z,"new age,celtic","WM UK",0.469,0.172,2,-15.15,1,0.031,0.736,0.927,0.113,0.0306,73.675,4
spotify:track:0jVDUBHY2SziMS3MwhKBpJ,"Deora Ar Mo Chroí","A Day Without Rain","Enya",2000-11-11,168826,53,false,,2012-07-27T23:29:52Z,"new age,celtic","WM UK",0.165,0.0483,9,-23.188,1,0.0408,0.959,0.307,0.0722,0.0685,136.752,3
spotify:track:4UW5yJcnRrOtHdKOnBds7M,"Flora's Secret","A Day Without Rain","Enya",2000-11-11,247506,61,false,,2012-07-27T23:29:52Z,"new age,celtic","WM UK",0.568,0.253,11,-12.721,1,0.0316,0.844,0.429,0.106,0.597,142.093,3
spotify:track:0lvcVCCEpjn9titFA3lSis,"Fallen Embers","A Day Without Rain","Enya",2000-11-11,148573,61,false,,2012-07-27T23:29:52Z,"new age,celtic","WM UK",0.229,0.177,1,-15.35,1,0.0437,0.929,0.564,0.111,0.0473,137.847,4
