Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0thSLBDsdoSBaNAXESc34l,"Piano Concerto No. 5 in D Major, K. 175 (1782 Version): I. Allegro","Mozart: Piano Concertos Nos. 5, 14 & 16","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",1999-11-10,476640,4,false,1224596573,2018-04-27T00:55:46Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.392,0.147,2,-23.37,1,0.0341,0.886,0.936,0.311,0.411,138.94,4
spotify:track:5KkZ3IJE4TlTWvNZTgA3io,"Piano Concerto No. 5 in D Major, K. 175 (1782 Version): II. Andante ma un poco adagio","Mozart: Piano Concertos Nos. 5, 14 & 16","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",1999-11-10,517240,7,false,1224596573,2018-04-27T00:55:46Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.303,0.0275,7,-29.765,1,0.0328,0.93,0.531,0.148,0.075,103.02,3
spotify:track:4j8QFQnaXXMzgFmAh5m7Nz,"Piano Concerto No. 5 in D Major, K. 175 (1782 Version): III. Rondo. Allegretto grazioso (K. 382)","Mozart: Piano Concertos Nos. 5, 14 & 16","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",1999-11-10,586226,5,false,1224596573,2018-04-27T00:55:46Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.359,0.129,2,-29.381,1,0.034,0.859,0.936,0.163,0.292,150.835,4
spotify:track:7rCnStSt1scOAYqXdjDFHi,"Piano Concerto No. 16 in D Major, K. 451: I. Allegro assai","Mozart: Piano Concertos Nos. 5, 14 & 16","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",1999-11-10,640127,2,false,1224596573,2018-04-27T00:55:46Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.227,0.0966,2,-24.602,1,0.0407,0.935,0.912,0.0749,0.125,68.06,4
spotify:track:7elcmsyZ2VvnHWlrhVFSUG,"Piano Concerto No. 16 in D Major, K. 451: II. Andante","Mozart: Piano Concertos Nos. 5, 14 & 16","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",1999-11-10,369760,6,false,1224596573,2018-04-27T00:55:46Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.336,0.0254,7,-32.221,1,0.0328,0.945,0.901,0.0832,0.0842,133.161,4
spotify:track:746A0abS6D1Bg4y6y4Gd0p,"Piano Concerto No. 16 in D Major, K. 451: III. Allegro di molto","Mozart: Piano Concertos Nos. 5, 14 & 16","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",1999-11-10,395066,7,false,1224596573,2018-04-27T00:55:46Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.346,0.171,2,-23.315,1,0.0352,0.872,0.922,0.0987,0.284,143.802,4
spotify:track:1KXz9lgZTd430jn8aXwmia,"Piano Concerto No. 14 in E-Flat Major, K. 449: I. Allegro vivace","Mozart: Piano Concertos Nos. 5, 14 & 16","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",1999-11-10,529740,2,false,1224596573,2018-04-27T00:55:46Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.365,0.0875,3,-26.236,1,0.0357,0.887,0.899,0.0941,0.39,140.528,3
spotify:track:4aMcmGnr93ZQ4tIaoaSZ8o,"Piano Concerto No. 14 in E-Flat Major, K. 449: II. Andantino","Mozart: Piano Concertos Nos. 5, 14 & 16","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",1999-11-10,406960,2,false,1224596573,2018-04-27T00:55:46Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.302,0.0263,10,-33.473,1,0.0335,0.913,0.661,0.105,0.0673,75.462,4
spotify:track:19CrEMt5K1UfdME5bd9jut,"Piano Concerto No. 14 in E-Flat Major, K. 449: III. Allegro ma non troppo","Mozart: Piano Concertos Nos. 5, 14 & 16","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",1999-11-10,368973,2,false,1224596573,2018-04-27T00:55:46Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.367,0.142,10,-27.127,1,0.0349,0.893,0.918,0.103,0.403,116.974,4
spotify:track:4jhpPoQAgGwhDUr3y4UjNg,"Piano Concerto No. 1 in F Major, K. Anh. A7 (K. 37): I. Allegro (After Raupach, Op. 1 No. 5) - Performed on Harpsichord","Mozart: Piano Concertos Nos. 1-4","Wolfgang Amadeus Mozart;Robert Levin;Academy of Ancient Music;Christopher Hogwood",2001-02-01,318960,3,false,1224596573,2018-04-27T00:56:19Z,"classical,classical piano,opera,chamber music,concerto,baroque,choral,early music","Decca Music Group Ltd.",0.295,0.192,0,-20.579,1,0.037,0.601,0.00474,0.0812,0.28,138.066,4
