Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2s5XlSrQkQbJDe4r0imt4U,"Galimathias musicum, K.32: 1. Molto allegro - Andante - Allegro - Pastorella - Allegro - Allegretto - Allegro","Mozart: Complete Edition Vol.2: Serenades, Dances & Marches","Wolfgang Amadeus Mozart;Ambrosian Singers;John Constable;Academy of St. Martin in the Fields;Sir Neville Marriner",2000-01-01,348000,6,false,,2012-08-03T23:07:56Z,"classical,classical piano,opera,chamber music,concerto,baroque,orchestral","Decca Music Group Ltd.",0.345,0.117,2,-18.433,1,0.0674,0.98,0.863,0.0851,0.227,78.296,4
spotify:track:7iZdAxYp07x0uEyqEGDrgS,"Galimathias musicum, K.32: 2. Molto adagio - Allegro - Largo - Allegro - Andante - Allegro - Menuet - Adagio","Mozart: Complete Edition Vol.2: Serenades, Dances & Marches","Wolfgang Amadeus Mozart;Ambrosian Singers;John Constable;Academy of St. Martin in the Fields;Sir Neville Marriner",2000-01-01,392493,5,false,,2012-08-03T23:07:56Z,"classical,classical piano,opera,chamber music,concerto,baroque,orchestral","Decca Music Group Ltd.",0.346,0.077,5,-19.749,1,0.0448,0.921,0.327,0.234,0.134,119.41,4
spotify:track:4tzucxaC3BsdFpLtvxsv8e,"Galimathias musicum, K.32: 3. Fuga","Mozart: Complete Edition Vol.2: Serenades, Dances & Marches","Wolfgang Amadeus Mozart;Ambrosian Singers;John Constable;Academy of St. Martin in the Fields;Sir Neville Marriner",2000-01-01,204506,4,false,,2012-08-03T23:07:56Z,"classical,classical piano,opera,chamber music,concerto,baroque,orchestral","Decca Music Group Ltd.",0.631,0.207,5,-15.81,1,0.0478,0.984,0.96,0.0929,0.537,84.768,4
spotify:track:2CmDAiKBIxGovBQrZf20Hy,"March in D Major, K. 62","Mozart, W.A.: Marches","Wolfgang Amadeus Mozart;Mozarteum Orchestra Salzburg;Hans Graf",1989-01-01,236360,0,false,,2012-08-09T21:58:58Z,"classical,classical piano,opera,chamber music,concerto,orchestral","Capriccio",0.419,0.134,9,-18.344,1,0.0384,0.97,0.897,0.0554,0.331,121.749,4
spotify:track:7CWqFnauqFs2vsg2Iarx6j,"Cassation in G Major, K. 63: I. Marche","Mozart, W.A.: Cassations - K. 63, 99 / March in D Major / Divertimento in D Major","Wolfgang Amadeus Mozart;La Petite Bande;Sigiswald Kuijken",2007-01-01,150640,0,false,,2012-08-09T21:50:18Z,"classical,classical piano,opera,chamber music,concerto,baroque","Accent",0.389,0.162,2,-18.042,1,0.0476,0.943,0.19,0.254,0.149,120.941,3
spotify:track:45vrdozXNnc9aRSktaWphh,"Cassation in G Major, K. 63: II. Allegro","Mozart, W.A.: Cassations - K. 63, 99 / March in D Major / Divertimento in D Major","Wolfgang Amadeus Mozart;La Petite Bande;Sigiswald Kuijken",2007-01-01,174626,0,false,,2012-08-09T21:50:18Z,"classical,classical piano,opera,chamber music,concerto,baroque","Accent",0.536,0.184,2,-16.453,1,0.0372,0.97,0.615,0.128,0.239,128.322,4
spotify:track:6Qvte6H2RTmMqmcxPb25YA,"Cassation in G Major, K. 63: III. Andante","Mozart, W.A.: Cassations - K. 63, 99 / March in D Major / Divertimento in D Major","Wolfgang Amadeus Mozart;La Petite Bande;Sigiswald Kuijken",2007-01-01,367986,0,false,,2012-08-09T21:50:18Z,"classical,classical piano,opera,chamber music,concerto,baroque","Accent",0.2,0.00852,7,-35.254,1,0.035,0.889,0.0282,0.143,0.135,84.838,4
spotify:track:0ZKRBNenihnZnN9haAYf1L,"Cassation in G Major, K. 63: IV. Menuet - Trio","Mozart, W.A.: Cassations - K. 63, 99 / March in D Major / Divertimento in D Major","Wolfgang Amadeus Mozart;La Petite Bande;Sigiswald Kuijken",2007-01-01,179840,0,false,,2012-08-09T21:50:18Z,"classical,classical piano,opera,chamber music,concerto,baroque","Accent",0.389,0.0801,2,-19.768,1,0.0334,0.973,0.878,0.162,0.291,147.99,3
spotify:track:4hmQOY2KQsePsIFNUiSa4n,"Cassation in G Major, K. 63: V. Adagio","Mozart, W.A.: Cassations - K. 63, 99 / March in D Major / Divertimento in D Major","Wolfgang Amadeus Mozart;La Petite Bande;Sigiswald Kuijken",2007-01-01,508253,0,false,,2012-08-09T21:50:18Z,"classical,classical piano,opera,chamber music,concerto,baroque","Accent",0.203,0.0269,9,-28.179,1,0.0363,0.905,0.000938,0.194,0.0841,70.76,4
spotify:track:0k8wR5ViCGJR6IpFnMXKUL,"Cassation in G Major, K. 63: VI. Menuet. Trio","Mozart, W.A.: Cassations - K. 63, 99 / March in D Major / Divertimento in D Major","Wolfgang Amadeus Mozart;La Petite Bande;Sigiswald Kuijken",2007-01-01,176613,0,false,,2012-08-09T21:50:18Z,"classical,classical piano,opera,chamber music,concerto,baroque","Accent",0.44,0.131,7,-20.615,1,0.048,0.951,0.777,0.363,0.532,146.421,3
spotify:track:7nX8FMsr57ezICkW7HrHj0,"Cassation in G Major, K. 63: VII. Finale. Allegro assai","Mozart, W.A.: Cassations - K. 63, 99 / March in D Major / Divertimento in D Major","Wolfgang Amadeus Mozart;La Petite Bande;Sigiswald Kuijken",2007-01-01,139720,0,false,,2012-08-09T21:50:18Z,"classical,classical piano,opera,chamber music,concerto,baroque","Accent",0.559,0.118,2,-16.777,1,0.0413,0.963,0.4,0.119,0.338,81.055,4
