Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:06g65i4M9MUQtDrVNRDkX8,"Concerto in C Major, RV 508: I. Allegro","Bach & Vivaldi: Sonar in ottava. Double Concertos for Violin and Violoncello Piccolo","Antonio Vivaldi;Giuliano Carmignola;Mario Brunello;Accademia dell'Annunciata;Riccardo Doni",2020-03-27,282534,15,false,1224596573,2024-02-24T13:33:38Z,"baroque,classical,concerto,early music,chamber music","Arcana",0.496,0.371,6,-10.964,1,0.035,0.924,0.606,0.11,0.748,113.442,4
spotify:track:0aha7pUgRHGETmEPwBa76w,"Concerto in E-Flat Major, RV 515: III. Allegro","Bach & Vivaldi: Sonar in ottava. Double Concertos for Violin and Violoncello Piccolo","Antonio Vivaldi;Giuliano Carmignola;Mario Brunello;Accademia dell'Annunciata;Riccardo Doni",2020-03-27,226054,9,false,1224596573,2024-02-24T13:34:06Z,"baroque,classical,concerto,early music,chamber music","Arcana",0.481,0.309,2,-12.874,1,0.0434,0.924,0.417,0.155,0.547,108.653,4
spotify:track:5MVN7i69mFcsEN69Rxtdbj,"Vivaldi: Concerto for Violin and Oboe in G Minor, RV 576: I. Allegro","Vivaldi: Concerti con molti strumenti - Concerti per mandolini","Antonio Vivaldi;Europa Galante;Fabio Biondi;Simone Toni",2002-01-01,253093,24,false,1224596573,2024-02-24T13:35:35Z,"baroque,classical,concerto,early music,opera","Warner Classics",0.432,0.204,6,-15.312,0,0.0364,0.978,0.887,0.143,0.435,133.436,4
spotify:track:5POWyMWmgbhZp85xzCAP61,"Vivaldi: Concerto for Violin and Oboe in G Minor, RV 576: III. Allegro","Vivaldi: Concerti con molti strumenti - Concerti per mandolini","Antonio Vivaldi;Europa Galante;Fabio Biondi;Simone Toni",2002-01-01,231866,15,false,1224596573,2024-02-24T13:35:42Z,"baroque,classical,concerto,early music,opera","Warner Classics",0.413,0.277,6,-13.79,0,0.0378,0.973,0.868,0.0987,0.347,153.276,3
spotify:track:6BDeG7Rthd1gLVCu8ptU2W,"Violin Concerto in D Major, RV 222: III. Allegro","Vivaldi: Late Violin Concertos, Vol. 1 (RV 177, RV 222, RV 273, RV 295, RV 375 and RV 191)","Antonio Vivaldi;Giuliano Carmignola;Venice Baroque Orchestra;Andrea Marcon",2001-08-07,212933,9,false,1224596573,2024-02-24T13:37:45Z,"baroque,classical,concerto,early music,opera","Sony Classical",0.482,0.153,2,-18.167,1,0.0379,0.855,0.663,0.168,0.459,116.04,4
spotify:track:01pwW8AKDw4dTlLVESObiM,"Violin Concerto in E-Flat Major, RV 257: I. Andante molto quasi allegro","Baroque","Antonio Vivaldi;Nicola Benedetti;Benedetti Baroque Orchestra",2021-07-16,289520,16,false,1224596573,2024-02-24T13:38:38Z,"baroque,classical,concerto,early music","Decca Music Group Ltd.",0.418,0.249,2,-13.8,1,0.0434,0.916,0.193,0.191,0.421,146.524,4
spotify:track:58SVzeA4j2q2N0EV3mGtIr,"Concerto in E Minor, RV 275: III. Allegro","Vivaldi: Concerto per violono","Antonio Vivaldi;Monica Waisman;Florian Deuter;Harmonie Universelle",2008-04-24,152880,1,false,1224596573,2024-02-24T13:39:31Z,"baroque,classical,concerto,early music,chamber music","Eloquentia",0.38,0.251,3,-16.928,0,0.0413,0.82,0.0788,0.118,0.489,156.048,3
spotify:track:19Tk0qoSOSl6ZwXcuYItXQ,"Concerto fatto per la Solennità della S. Lingua di S. Antonio in Padova, 1712 for violin, strings & continuo in D Major, RV 212: III. Allegro","Vivaldi: Music for the Chapel of the Pietà","Antonio Vivaldi;La Serenissima;Adrian Chandler",2006-06-05,389426,1,false,1224596573,2024-02-24T13:40:44Z,"baroque,classical,concerto,early music","AVIE Records",0.379,0.141,2,-21.941,1,0.0422,0.841,0.631,0.0582,0.3,138.249,3
spotify:track:068kO49H2deg2c1rDyvGGV,"Violin Concerto in B-Flat Major, Op. 4, No. 1, RV 383a: I. Allegro","Vivaldi: Opera IV ""La Stravaganza"" - concerti 1/6","Antonio Vivaldi;Alberto Martini;Filarmonici di Bologna, I",2012-10-01,195733,0,false,1224596573,2024-02-24T13:43:19Z,"baroque,classical,concerto,early music","Tactus",0.379,0.282,10,-16.174,1,0.0396,0.956,0.963,0.088,0.466,114.082,4
spotify:track:2k0THZ0z4JAAk7x96nIN7k,"Violin Concerto in B Minor, RV 388: I. Allegro","Vivaldi: Dresden Concertos, Vol. 4","Antonio Vivaldi;Cristiano Rossi;Accademia I Filarmonici;Alberto Martini",1999-01-15,202200,5,false,1224596573,2024-02-24T13:43:49Z,"baroque,classical,concerto,early music","Naxos",0.41,0.206,11,-18.755,0,0.0529,0.829,0.138,0.114,0.549,146.844,4
spotify:track:1MR8EttW9WKf48uw8a9lWR,"Viola d'amore Concerto in D minor, RV 395: 3. Andante","Vivaldi: Concerti per viola d'amore","Antonio Vivaldi;Massimo Paris;I Musici",1988-10-20,108666,2,false,1224596573,2024-02-24T13:44:15Z,"baroque,classical,concerto,early music,chamber music","Decca Music Group Ltd.",0.155,0.0557,2,-24.294,0,0.0442,0.648,0.0321,0.103,0.134,150.853,4
spotify:track:7c34cWwGy93nPOfDE0KcRQ,"Flute Concerto in E Minor, RV 432: II. Grave sopra il Libro","Vivaldi: ""Il Mondo al rovescio"" - Concerti con molti istromenti","Antonio Vivaldi;Amandine Beyer;Gli Incogniti",2022-09-09,128586,3,false,1224596573,2024-02-24T13:45:43Z,"baroque,classical,concerto,early music,chamber music,renaissance","harmonia mundi",0.331,0.00882,3,-34.743,0,0.04,0.992,0.777,0.115,0.311,168.648,3
spotify:track:4wzEgrrGokXwp9sXVEVAhM,"Bassoon Concerto in C major, RV 471: 1. Allegro molto","Vivaldi: 6 Bassoon Concertos","Antonio Vivaldi;Klaus Thunemann;I Musici",1991-10-15,247000,1,false,1224596573,2024-02-24T13:46:41Z,"baroque,classical,concerto,early music,chamber music","Decca Music Group Ltd.",0.419,0.181,0,-20.067,1,0.0404,0.979,0.79,0.0723,0.545,136.025,4
spotify:track:7hmB8KzdyfIiZteRXGzND6,"Bassoon Concerto in C major, RV 473: 1. Allegro","Vivaldi: 6 Bassoon Concertos","Antonio Vivaldi;Klaus Thunemann;I Musici",1986-01-01,205493,4,false,1224596573,2024-02-24T13:46:58Z,"baroque,classical,concerto,early music,chamber music","Decca Music Group Ltd.",0.433,0.182,0,-18.815,1,0.0362,0.969,0.887,0.488,0.371,87.245,4
spotify:track:17ikeNkEK9HEQNJpexiXPF,"Bassoon Concerto in E flat major, RV 483: 1. Presto","Vivaldi: 6 Bassoon Concertos","Antonio Vivaldi;Klaus Thunemann;I Musici",1986-01-01,132333,7,false,1224596573,2024-02-24T13:47:33Z,"baroque,classical,concerto,early music,chamber music","Decca Music Group Ltd.",0.424,0.343,10,-20.512,1,0.0322,0.976,0.963,0.166,0.811,136.659,4
spotify:track:4JQhYdpL0DOlxF4s3is7Mn,"Bassoon Concerto in E Minor, RV 484: I. Allegro poco","Vivaldi, A.: Chiaroscuro","Antonio Vivaldi;Claire Guimond;Mathieu Lussier;Arion Trio",2009-12-10,257386,0,false,1224596573,2024-02-24T13:47:47Z,"baroque,classical,concerto,early music,renaissance,chamber music","early-music.com",0.395,0.149,3,-17.306,0,0.0357,0.977,0.606,0.0991,0.317,128.783,4
spotify:track:0swP41WSucpqrI7oCSBmsR,"Bassoon Concerto in G major, RV493: 1. Allegro ma poco","Vivaldi: 6 Bassoon Concertos","Antonio Vivaldi;Klaus Thunemann;I Musici",1991-10-15,169000,1,false,1224596573,2024-02-24T13:48:27Z,"baroque,classical,concerto,early music,chamber music","Decca Music Group Ltd.",0.455,0.146,7,-18.513,1,0.039,0.982,0.479,0.126,0.403,75.166,4
spotify:track:6mwtufyxmSq1KHw48Ibkeo,"Concerto for Strings in F Minor, RV 143: III. —","Vivaldi: Complete Concertos and Sinfonias for Strings and Basso Continuo","Antonio Vivaldi;L'Archicembalo",2019-04-26,140146,3,false,1224596573,2024-02-24T14:13:21Z,"baroque,classical,concerto,early music","Brilliant Classics",0.613,0.312,4,-17.192,0,0.0393,0.727,0.00211,0.134,0.746,114.936,1
spotify:track:3ygPUe85DusWGxlBjnjo6k,"Concerto for Strings in B-Flat Major, RV 167: I. Allegro","Vivaldi: Complete Concertos and Sinfonias for Strings and Basso Continuo","Antonio Vivaldi;L'Archicembalo",2019-04-26,104173,3,false,1224596573,2024-02-24T14:13:39Z,"baroque,classical,concerto,early music","Brilliant Classics",0.577,0.384,9,-16.925,1,0.0357,0.677,0.00054,0.251,0.883,117.568,4
spotify:track:3EFb0QZLJckWVZ2v3krTn3,"Sinfonia in C Major, RV 112: I. Allegro","Vivaldi: Complete Concertos and Sinfonias for Strings and Basso Continuo","Antonio Vivaldi;L'Archicembalo",2019-04-26,99640,5,false,1224596573,2024-02-24T14:16:50Z,"baroque,classical,concerto,early music","Brilliant Classics",0.433,0.248,6,-22.118,1,0.0389,0.439,0.326,0.253,0.616,141.258,4
spotify:track:5tzZXJXKsc0aNrLTbMhwJj,"Sinfonia in C Major, RV 116: I. Allegro","Vivaldi: Complete Concertos and Sinfonias for Strings and Basso Continuo","Antonio Vivaldi;L'Archicembalo",2019-04-26,149906,5,false,1224596573,2024-02-24T14:17:10Z,"baroque,classical,concerto,early music","Brilliant Classics",0.549,0.236,6,-19.563,1,0.0393,0.671,0.00164,0.191,0.585,129.723,4
spotify:track:742nxsjLtvfjjGrSXgEiS1,"Concerto for Strings in G Minor, RV 156: I. Allegro","Vivaldi: Complete Concertos and Sinfonias for Strings and Basso Continuo","Antonio Vivaldi;L'Archicembalo",2019-04-26,145360,24,false,1224596573,2024-02-24T14:18:11Z,"baroque,classical,concerto,early music","Brilliant Classics",0.514,0.247,1,-16.835,0,0.0347,0.703,0.0222,0.182,0.466,135.062,4
spotify:track:3ZlMbQ5J1EfX0Dxg2YYm76,"Vivaldi: Concerto for Two Violins in tromba marina in C Major, RV 558: I. Allegro molto","Vivaldi: Concerti con molti strumenti - Concerti per mandolini","Antonio Vivaldi;Europa Galante;Fabio Biondi;Lorenzo Colitto",2002-01-01,292826,17,false,1224596573,2024-02-24T14:18:50Z,"baroque,classical,concerto,early music,opera,chamber music,raï","Warner Classics",0.468,0.283,6,-17.924,1,0.0347,0.91,0.781,0.219,0.626,126.421,4
spotify:track:28M4qCzO2SQUz7YJxbH07T,"Vivaldi: Concerto for Two Violins and Two Cellos in D Major, RV 564: III. Allegro","Vivaldi: Concerti con molti strumenti - Concerti per mandolini","Antonio Vivaldi;Europa Galante;Fabio Biondi;Antonio Fantinuoli;Maurizio Naddeo;Raffaello Negri",2002-01-01,204133,15,false,1224596573,2024-02-24T14:19:09Z,"baroque,classical,concerto,early music,opera,chamber music,folk","Warner Classics",0.452,0.245,8,-18.891,1,0.0396,0.83,0.795,0.146,0.428,71.56,4
spotify:track:6yLVDTXUDOf84XkDbXXDuq,"Concerto No. 1 in C Major, RV 181a ""La cetra"": I. Allegro","Vivaldi: ""La Cetra"" 12 Concerti, Op. 9","Antonio Vivaldi;I Solisti Italiani",2009-01-01,193000,6,false,1224596573,2024-02-24T14:19:34Z,"baroque,classical,concerto,early music","Denon",0.544,0.241,0,-17.952,1,0.0398,0.823,0.00967,0.12,0.712,117.823,4
spotify:track:1GI97XPtbeGXjP52GYnpjk,"Concerto No. 9 in B-Flat Major, RV 530 ""La cetra"": I. Allegro","Vivaldi: ""La Cetra"" 12 Concerti, Op. 9","Antonio Vivaldi;I Solisti Italiani",2009-01-01,211133,3,false,1224596573,2024-02-24T14:20:37Z,"baroque,classical,concerto,early music","Denon",0.471,0.215,10,-17.581,1,0.0394,0.819,0.324,0.189,0.508,105.308,4
