Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3F1WBv6IkQMPYaiKTs3N0B,"Symphony No. 3 in D Minor, WAB 103: I. Massig bewegt (1889 Version, ed. L. Nowak)","Bruckner: 10 Symphonien","Anton Bruckner;Symphonieorchester des Bayerischen Rundfunks;Lorin Maazel",2011-01-04,1356533,0,false,,2012-04-05T03:12:19Z,"classical,orchestral,opera,ballet","BR-Klassik",0.176,0.0504,2,-20.689,0,0.0417,0.947,0.65,0.0364,0.0364,138.6,4
spotify:track:6Tr8kQcv5sekRL414sY36h,"Symphony No. 3 in D Minor, WAB 103: II. Adagio. Bewegt, quasi andante (1889 Version, ed. L. Nowak)","Bruckner: 10 Symphonien","Anton Bruckner;Symphonieorchester des Bayerischen Rundfunks;Lorin Maazel",2011-01-04,914626,0,false,,2012-04-05T03:12:28Z,"classical,orchestral,opera,ballet","BR-Klassik",0.0858,0.0291,8,-23.734,1,0.044,0.938,0.624,0.0758,0.0364,76.215,4
spotify:track:7r4sT3bFZpiLgEii8Z52Wq,"Symphony No. 4 in E flat major, Romantic: I. Bewegt, nicht zu schnell","Bruckner: Symphony No. 4","Anton Bruckner;Bernard Haitink;London Symphony Orchestra",2011-12-13,1232800,0,false,,2012-04-05T03:13:35Z,"classical,orchestral,opera,impressionism,ballet","LSO Live",0.177,0.0474,3,-21.208,1,0.0454,0.942,0.655,0.0576,0.0361,119.624,4
spotify:track:70ziEYVckqUKai0jfTspFY,"Symphony No. 4 in E flat major, Romantic: II. Andante quasi Allegretto","Bruckner: Symphony No. 4","Anton Bruckner;Bernard Haitink;London Symphony Orchestra",2011-12-13,907133,0,false,,2012-04-05T03:13:50Z,"classical,orchestral,opera,impressionism,ballet","LSO Live",0.151,0.0106,8,-26.209,1,0.0466,0.943,0.654,0.0893,0.0355,72.554,4
spotify:track:7Ako68bQ1FkQ5OVqKqasDg,"Symphony No. 4 in E flat major, Romantic: III. Scherzo. Bewegt – Trio: Nicht zu schnell. Keinesfalls schleppend","Bruckner: Symphony No. 4","Anton Bruckner;Bernard Haitink;London Symphony Orchestra",2011-12-13,671586,0,false,,2012-04-05T03:14:01Z,"classical,orchestral,opera,impressionism,ballet","LSO Live",0.142,0.0778,1,-23.109,1,0.0571,0.909,0.327,0.151,0.0931,177.245,3
spotify:track:6Pb0l75FXzSY7XIG3SdEXv,"Symphony No. 4 in E flat major, Romantic: IV. Finale: Bewegt, doch nicht zu schnell","Bruckner: Symphony No. 4","Anton Bruckner;Bernard Haitink;London Symphony Orchestra",2011-12-13,1336800,0,false,,2012-04-05T03:14:14Z,"classical,orchestral,opera,impressionism,ballet","LSO Live",0.168,0.0411,6,-20.633,1,0.0378,0.907,0.678,0.0817,0.0394,104.402,4
spotify:track:0iMIli3Bx1kUEVCeLqFOnx,"Bruckner: Symphony No. 6 in A Major, WAB 106: I. Majestoso","Bruckner: Symphonies Nos. 4 ""Romantic"" & 6","Anton Bruckner;Riccardo Muti;Berliner Philharmoniker",2011-01-01,1032893,0,false,,2012-05-24T01:56:58Z,"classical,orchestral,opera,ballet,impressionism,concerto","Warner Classics",0.179,0.0632,9,-19.188,1,0.0392,0.898,0.703,0.198,0.0453,115.113,4
spotify:track:0piFpYxEjUS5e5Y6gyDUVR,"Bruckner: Symphony No. 6 in A Major, WAB 106: II. Adagio. Sehr feierlich","Bruckner: Symphonies Nos. 4 ""Romantic"" & 6","Anton Bruckner;Riccardo Muti;Berliner Philharmoniker",2011-01-01,1046506,0,false,,2012-05-24T01:57:05Z,"classical,orchestral,opera,ballet,impressionism,concerto","Warner Classics",0.0687,0.0337,5,-24.783,1,0.0461,0.941,0.758,0.0838,0.0316,75.464,3
spotify:track:75OjdNO58EEAzzOB6ClbaT,"Bruckner: Symphony No. 6 in A Major, WAB 106: III. Scherzo. Nicht schnell - Trio. Langsam","Bruckner: Symphonies Nos. 4 ""Romantic"" & 6","Anton Bruckner;Riccardo Muti;Berliner Philharmoniker",2011-01-01,474360,0,false,,2012-04-05T03:17:30Z,"classical,orchestral,opera,ballet,impressionism,concerto","Warner Classics",0.146,0.0839,0,-22.051,1,0.0484,0.963,0.571,0.0456,0.082,81.29,4
spotify:track:2GgavRUmKqCBtkPWJfqzY5,"Bruckner: Symphony No. 6 in A Major, WAB 106: IV. Bewegt, doch nicht zu schnell","Bruckner: Symphonies Nos. 4 ""Romantic"" & 6","Anton Bruckner;Riccardo Muti;Berliner Philharmoniker",2011-01-01,863120,0,false,,2012-05-24T01:57:16Z,"classical,orchestral,opera,ballet,impressionism,concerto","Warner Classics",0.139,0.0853,5,-19.163,1,0.0413,0.941,0.707,0.239,0.0396,64.433,4
