Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:119U6u5zhjkoQbZ1WRu2pL,"L'olimpiade, RV 725: Sinfonia. Allegro","Vivaldi: L'olimpiade","Antonio Vivaldi;Concerto Italiano;Rinaldo Alessandrini",2007-01-01,117240,13,false,1224596573,2024-01-06T06:43:01Z,"baroque,classical,concerto,early music,renaissance,opera,choral","naïve classique",0.438,0.296,6,-21.54,1,0.0369,0.861,0.885,0.348,0.677,153.502,4
spotify:track:095Y00qOfC28EhK8FuV4ix,"Vivaldi: Griselda, RV 718, Act 2: ""Agitata da due venti"" (Costanza)","Vivaldi ""Pyrotechnics"" - Opera Arias","Antonio Vivaldi;Fabio Biondi;Europa Galante;Vivica Genaux",2009-11-13,319800,10,false,1224596573,2024-01-06T05:56:08Z,"baroque,classical,concerto,early music,opera","Warner Classics",0.513,0.254,9,-19.55,1,0.0446,0.918,0.369,0.0476,0.58,136.031,4
spotify:track:277gYCJZdRRaS6cOr1siMx,"Juditha triumphans, RV 644: Air ""Armatae face et anguibus""","Juditha triumphans, RV 644: Air ""Armatae face et anguibus""","Antonio Vivaldi;Lea Desandre;jupiter_BRKN;Thomas Dunford",2019-08-30,195853,0,false,1224596573,2024-01-06T05:57:27Z,"baroque,classical,concerto,early music,opera,renaissance","Alpha",0.513,0.529,11,-11.81,0,0.0516,0.942,0.00635,0.314,0.721,131.616,4
spotify:track:6DPb75pTL1TQhpeRWaF6lg,"Orlando Furioso, RV 728, Act I, Scene 10: Sol da te, mio dolce amore","Vivaldi: Orlando Furioso","Antonio Vivaldi;Jean-Christophe Spinosi;Ensemble Matheus;Philippe Jaroussky",2004-10-19,469266,25,false,1224596573,2024-01-06T06:05:07Z,"baroque,classical,concerto,early music,opera","naïve classique",0.234,0.0488,0,-25.268,0,0.0463,0.966,0.134,0.103,0.153,86.485,4
spotify:track:2Na1XEZyELOZfdzBc2fRNs,"Farnace, RV 711, Act I, Scene 14: Sorge l'irato nembo: (Pompeo)","Vivaldi: Farnace","Antonio Vivaldi;Le Concert Des Nations;Jordi Savall;Cinzia Forte",2002,257040,3,false,1224596573,2024-01-06T05:58:29Z,"baroque,classical,concerto,early music,renaissance,medieval,opera","naïve classique",0.411,0.556,6,-11.261,1,0.0397,0.924,0.0195,0.112,0.795,101.447,4
spotify:track:0aZvNXVQxUS4JWKRsXJPX5,"Farnace, RV 711, Act II, Scene 5: Gelido in ogni vena: (Farnace)","Vivaldi: Farnace","Antonio Vivaldi;Le Concert Des Nations;Jordi Savall;Furio Zanasi",2002,549080,7,false,1224596573,2024-01-06T05:58:44Z,"baroque,classical,concerto,early music,renaissance,medieval,opera,gregorian chant","naïve classique",0.242,0.112,3,-19.682,0,0.047,0.924,0.026,0.13,0.038,135.35,4
spotify:track:2qQabvexDceaGwQeQIl5jV,"Vivaldi: Andromeda Liberata, Anh. 117: ""Sovente il sole"" (Perseo)","Vivaldi: Opera Arias","Antonio Vivaldi;Philippe Jaroussky;Ensemble Matheus;Jean-Christophe Spinosi",2006-11-20,564529,32,false,1224596573,2024-01-06T06:00:22Z,"baroque,classical,concerto,early music,opera","Warner Classics",0.273,0.0224,4,-27.951,0,0.0523,0.937,0.00000942,0.0874,0.053,141.327,4
spotify:track:4EjtlMfJ8ITi21D9lGdbGl,"Vivaldi: La fida ninfa, RV 714: ""Alma oppressa""","Vivaldi ""Pyrotechnics"" - Opera Arias","Antonio Vivaldi;Fabio Biondi;Europa Galante;Vivica Genaux",2009-11-13,310680,3,false,1224596573,2024-01-06T06:01:02Z,"baroque,classical,concerto,early music,opera","Warner Classics",0.453,0.27,10,-19.935,0,0.0606,0.946,0.014,0.0828,0.32,128.561,4
spotify:track:5YgRmUAt10lUeqcP30Ceqh,"L'Oracolo in Messenia, Atto Terzo, Scena 4: Aria: Nell'orror di notte oscura (Licisco)","Vivaldi Oracolo in Messenia","Antonio Vivaldi;Franziska Gottwald;Europa Galante;Fabio Biondi",2012-09-24,297466,2,false,1224596573,2024-01-06T06:02:15Z,"baroque,classical,concerto,early music,opera","Warner Classics",0.589,0.359,11,-16.93,1,0.046,0.931,0.000298,0.368,0.818,131.405,4
spotify:track:35kKlZHEyOrVQP2TgZHXmj,"L'olimpiade, RV 725: Quel destrier, che all'albergo è vicino. Licida, aria","Vivaldi: L'olimpiade","Antonio Vivaldi;Sara Mingardo;Concerto Italiano;Rinaldo Alessandrini",2007-01-01,198573,10,false,1224596573,2024-01-06T06:03:27Z,"baroque,classical,concerto,early music,opera,choral,renaissance","naïve classique",0.58,0.272,1,-20.638,1,0.0543,0.945,0.000129,0.126,0.771,75.592,4
spotify:track:0YeAfnzBivw0jMYWs2Qg38,"IV. Nell'orrido albergo ricetto di pene","Vivaldi: Stabat Mater","Antonio Vivaldi;Andreas Scholl;Ensemble 415;Chiara Banchini",1995,221333,0,false,1224596573,2024-01-06T06:03:42Z,"baroque,classical,concerto,early music,opera,renaissance,choral,chamber music","harmonia mundi",0.419,0.217,2,-20.096,1,0.0382,0.923,0.00132,0.229,0.7,139.886,4
